,titles,Requirments,Experince,links,Company_name,country,city,address,job_since,company_link,full_part,job_description,job_requirement,jobs_skills,company_logo
28,Senior Systems Engineer," IT/Software Development , Computer Science , Data center , Information Technology (IT) , Software Development , Virtualization", 5 - 7 Yrs of Exp ,https://wuzzuf.net/jobs/p/rTqofwi2Z8yP-Senior-Systems-Engineer-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=29&l=sp&t=sj&a=data science|search-v3,Nahdet Misr Publishing Group, Egypt , Giza,Mohandessin,16 days ago,https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272,Full Time,"Job Description
 Monitoring servers and network devices
Solving any incident or problem related to the servers or network
Working as 2nd  line support
Microsoft Infrastructure Platform
Virtualization technology administration
Microsoft Messaging environment
Working knowledge with inventory systems
Working knowledge with Backup systems
Working knowledge with Anti-Virus systems
Strong System operation experience.
Strong Client server understanding","Job Requirements
BSC of engineering or computer science
5-7 Years’ of Experience
MCSE is a must
VMware Certified Professional – Data Center Virtualization is added value","['IT/Software Development', 'Computer Science', 'Data center', 'Information Technology (IT)', 'Software Development', 'Virtualization']",https://images.wuzzuf-data.net/files/company_logo/Nahdet-Misr-Publishing-Group-Egypt-1272.png
29,Senior Computer Vision Engineer," IT/Software Development , Engineering - Telecom/Technology , TensorFlow , Python , PyTorch , CNN , yolo , Computer Vision , Deep Learning , Video Intelligence", 3 - 6 Yrs of Exp ,https://wuzzuf.net/jobs/p/ZRkuYvC25umo-Senior-Computer-Vision-Engineer-wobot-ai-New-Delhi-India?o=30&l=sp&t=sj&a=data science|search-v3,wobot.ai, India ,New Delhi,New Delhi,18 days ago,https://wuzzuf.net/jobs/careers/wobot.ai-India-83109,Full TimeWork From Home,"Job Description
Description:
This is a senior role where you will be responsible for leading a team of computer vision developers and work on the below mentioned roles and responsibilities.
Roles and Responsibilities:
Analyze and Improve the Existing Data, Training & Inference Architecture for existing Use-Cases.
Pioneer Novel Algorithms for new use-cases to develop an elegant and robust solution to solve problem statements using Computer Vision.
Work on Model Optimization to improve Performance & Throughput for the same.
Work on Various SOTA Dataset Augmentation & Dataset Generation Techniques that help improve model accuracy & precision.
Work on development & improvement of End-to-End Pipeline use-cases running at scale.
Work with the existing teams to set up a re-training pipeline that iteratively improves existing model accuracy based on in-coming datasets.

How we work?
Microsoft Teams is our go to tool for daily communication
We conduct daily standups and team meetings over Teams
We encourage open discussion and debate, and place tremendous value on ownership and founder mindset.
We value: design + amazing UI/UX, documentation, To-Do lists and Data based decision.
We're distributed but not alone! We might be working around the world but we believe in the value in getting to know each other outside of working hours
We get together for a bi-weekly townhall and frequent destressing session with a certified healer!
Perks and Benefits:
100% remote workplace model
Health Insurance of Rs. 3L
Top performers eligible for attractive equity options
Mental Health Consultations with heyy app.
Company sponsored upskilling courses
Growth Hours: 40 hours every year
The chance to give back with 40 hours for community causes
Fun company retreats twice a year
Access to a Financial Advisor","Job Requirements
Requirements:
Proficient with Training of Detection/Classification/Segmentation Models with Tensorflow/PyTorch
Good Theoretical and Practical Knowledge with the fundamentals of Deep Learning, eg. CNNs, Regularization Techniques, etc.
Proficient in developing Deep Learning Model Pipelines
Deployment of Deep Learning Models at Scale for live processing of video feeds (RTSP).
Experience with Model Servers: Triton Inference Server (Preferred), TensorFlow Serving, or Torch Serve.
Experience in working with Model Optimization for  Nvidia Hardware (TensorRT Conversion of both Tensorflow & Pytorch models)
Experience with both Cloud as well as Edge Deployment of Deep Learning Models (Preferably at Scale).
Experience in FP16/Mixed Precision and INT8 Optimized Inference on Nvidia Hardware
Experience with using Docker, Nvidia-Docker, Nvidia NGC containers for Computer Vision/Deep Learning.
Proficient in Data Structures & Algorithms
Proficient understanding of code versioning tools, such as (Git / Mercurial / SVN)
Experience with common front-end development tools such as Babel, Webpack, NPM, etc.
Knowledge of a state management library such as Redux, etc.

Good to have
Experience with Scalable Cloud Deployment Architecture for Video Analytics (Involving Kubernetes and/or Kafka)
Experience in INT8 Training (Quantization Aware Training)
Experience/Knowledge of TensorFloat32 and BFloat16 Training/Inference","['IT/Software Development', 'Engineering - Telecom/Technology', 'TensorFlow', 'Python', 'PyTorch', 'CNN', 'yolo', 'Computer Vision', 'Deep Learning', 'Video Intelligence', 'Artificial Intelligence (AI)', 'Machine Learning', 'Data Science']",https://images.wuzzuf-data.net/files/company_logo/1396562030633536251cd78.png
30,Data Analyst," Analyst/Research , Data Analysis , Analysis , Computer Science , Information Technology (IT) , Reporting , Power BI , IT , analytical , Data", 3 - 5 Yrs of Exp ,https://wuzzuf.net/jobs/p/3ZTNoLhqBc6T-Data-Analyst-Arma-Foods-Cairo-Egypt?o=31&l=sp&t=sj&a=data science|search-v3,Arma Foods, Egypt , Cairo,New Cairo,3 days ago,https://wuzzuf.net/jobs/careers/Arma-Egypt-73932,Full Time,"Job Description
Develop the data analytics methods to collect relevant data from different sources in order to meet the needs of business growth.
Analyze and solve consumers’ queries by providing information on complex processes and the related policies, referring to others where necessary for interpretation of data.
Translate business questions into learning plans and then develop and conduct research studies to collect data to develop insights. 
Make sure that there is effective communication of market and consumer data.
Communicate findings, through data visualization, with concerned business teams to develop decision-making based on the data and insights available.
Deal with departments’ leaders to identify opportunities & strengths for better process improvements, recommend system modifications, and develop policies.
Use different statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts.
Prepare reports for stakeholders to help them make the right decisions and solve big issues in the right way.","Job Requirements
Degree in Business, Technology, Engineering, or a related field.
3 to 5 years of experience in business analysis & data analysis.
Excellent Command of English.
Experience in using SAP system is a must.
Good Knowledge at Sales BUZZ.
IT background.
High Command of report generating software like Power BI, Tableau or SSRS.
Good Knowledge of analytic/programming languages like SQL, Python or R.
Experience with Business Process& Task Management tools e.g., Click Up, Trello, Monday...etc.
Excellent analytical & reporting skills.","['Analyst/Research', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Reporting', 'Power BI', 'IT', 'analytical', 'Data', 'Engineering', 'English', 'Python', 'SQL', 'Tableau']",https://images.wuzzuf-data.net/files/company_logo/605909461621367edeb918.png
31,Senior C++ Developer," IT/Software Development , Engineering - Telecom/Technology , C++ , Computer Engineering , Software Engineering , Software Development , Information Technology (IT) , Programming , Software , Computer Science", 4+ Yrs of Exp ,https://wuzzuf.net/jobs/p/MXQeLjC13vV1-Senior-C-Developer-TensorGraph-Cairo-Egypt?o=32&l=sp&t=sj&a=data science|search-v3,TensorGraph, Egypt , Cairo,Maadi,4 days ago,https://wuzzuf.net/jobs/careers/TensorGraph-Egypt-32724,Full Time,"Job Description
TensorGraph is hiring Percision.ai talented C++  Senior Developer who has 4 years of experience in C++ to join our team. Working closely with our drone engineers, computer vision engineers, and key technical leads, you will support the development of our high-performance software components, which integrate within Precision AI’s Drone survey system. 
Job Duties:
Collaborate with the software development team, drone engineering team, and key stakeholders on product development utilizing your C++ coding skills.
Oversee the work of and mentor a team of talented but less experienced staff through the full software development lifecycle.
Develop software and support the deployment of applications across both on-board and off-board platforms.
Define and perform diagnostic testing and debugging procedures.
Support the optimization of drone-related software integration for maintenance, updates, and upgrades.
Document processes and maintain software development records.
Keep up to date with C++ standards and advancements in application development.
Consult with internal technical leads to determine the scope of software development projects.","Job Requirements
Bachelor's degree in Computer Engineering.
Must have 4+ years of experience in C++ and 6+ years of experience in the Software Field.
Top-notch investigation skills
Demonstrated experience and success in managing teams of C++ developers
Excellent Technical competence (algorithms, data structures) and strong analytical and programming skills.
Very Good communication skills and cross-organizational interactions.
Embedded system experience will be a plus.
About Precision.ai:
Precision.ai is at the forefront of the sustainable food revolution specializing in drones and artificial intelligence. We provide fully autonomous spraying and crop protection solutions for the agriculture industry. Headquartered in Regina, Saskatchewan, our mission is to create intelligence that enables the elimination of chemical residue in our food supply to make healthier, safer food for everyone.","['IT/Software Development', 'Engineering - Telecom/Technology', 'C++', 'Computer Engineering', 'Software Engineering', 'Software Development', 'Information Technology (IT)', 'Programming', 'Software', 'Computer Science', 'Engineering', 'Algorithms', 'Data Structures']",https://images.wuzzuf-data.net/files/company_logo/TensorGraph-Egypt-32724-1636296196.png
32,Senior Python Developer," Installation/Maintenance/Repair , IT/Software Development , Engineering - Telecom/Technology , Python , Databases , Software Development , Data Processing , airflow , Cloud , Computer Science", 2 - 4 Yrs of Exp ,https://wuzzuf.net/jobs/p/k7LetgYe0WZg-Senior-Python-Developer-Stackzy-Giza-Egypt?o=33&l=sp&t=sj&a=data science|search-v3,Stackzy, Egypt , Giza,6th of October,6 days ago,https://wuzzuf.net/jobs/careers/Tech-SquAd-Egypt-59076,Full Time,"Job Description
Stackzy is hiring a Senior Python Developer, Who will be responsible for implementing and maintaining data aggregation and transformation tools in python

 This includes:
Attending daily stand-ups.
Working on release planning & sprint planning and giving accurate estimates for user stories.
Architecting solutions and writing elegant, testable & scalable code.
Reviewing and giving feedback to your peers about their code.
Help design and implement functional requirements.
Build efficient backend features in Python.
Develop and improve our Services, and internal tools and document them properly
Own the creation process of these tools, services, and workflows.
 ","Job Requirements
BS/MS degree in Computer Science, Engineering, or a related subject
Strong understanding of object-oriented programming
Proficient understanding of code versioning tools, such as Git
Efficient with data transformation/processing in python using e.g.: pandas data frames.
Good understanding of cloud-native software architecture and data orchestration
Good understanding of data pipelines and workflow managements tools e.g.: Apache Airflow, Flyte.
Hands-on working with different databases e.g.: MySQL, MongoDB.
Good understanding of unit testing and clean code standards.","['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Python', 'Databases', 'Software Development', 'Data Processing', 'airflow', 'Cloud', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'MongoDB', 'MySQL', 'Software', 'Software Engineering', 'Testing', 'Unit Testing']",https://images.wuzzuf-data.net/files/company_logo/42697557663284c11ba6a3.jpeg
33,Cyber Security Lead," IT/Software Development , Engineering - Telecom/Technology , Computer Science , IT Security , Cyber Security , Information Security , Information Technology (IT) , Security , Networks , Testing", 5 - 5 Yrs of Exp ,https://wuzzuf.net/jobs/p/4j5H8UR0aT3P-Cyber-Security-Lead-Anchor-Consultancy-Cairo-Egypt?o=34&l=sp&t=sj&a=data science|search-v3,Anchor Consultancy, Egypt , Cairo,Zamalek,1 month ago,https://wuzzuf.net/jobs/careers/Anchor-Consultancy-Egypt-74882,Full Time,"Job Description
The Cyber Security Lead, alongside supporting the IT Leadership Team, performs two core functions for the enterprise. The first is overseeing the operations of the enterprise’s security solutions. The second is establishing an enterprise security stance through policy, architecture and training processes. Secondary tasks will include the selection of appropriate security solutions, and oversight of any vulnerability audits and assessments. 
The Cyber Security Lead is expected to interface with peers in the Systems, Network and Infrastructure departments as well as with the leaders of the business units to both share the corporate security vision with those individuals and to solicit their involvement in achieving higher levels of enterprise security through information sharing and co-operation.
The role will be a key part of the Middle East & North Africa IT team and the Fertiglobe group-wide Cyber Security Steering Committee. Some travel within the Middle East is expected. 
Role will cover both IT and OT (Operational Technology). ","Job Requirements
Licenses, Certifications, and/or Registrations
One or more of the following certifications:
GIAC Security Essentials Certification (GSEC)
GIAC Global Industrial Cyber Security Professional (GICSP)
ISACA Certified Information Security Manager (CISM)
(ISC)2 Certified Information Systems Security Professional (CISSP)
(ISC)2 Information Systems Security Management Professional (ISSMP)
Microsoft Certified Systems Engineer: Security
Or relevant demonstrable industry experience
Knowledge, Skills, and Abilities
Extensive experience in enterprise security architecture design to mitigate threats.
Extensive experience in enterprise security document creation.
Experience in designing and delivering employee security awareness training.
Experience in developing security incident response plans.
Experience in anti-virus, penetration testing and general IT and OT security.
Experience and understanding of the key compliance and regulatory standards in Information Security and Compliance
Strong understanding of IP, TCP/IP, and other network administration protocols.
Experience in cybersecurity designs for systems, networks, and multi-level security requirements or requirements for processing multiple classification levels of data.
Knowledge of risk management processes and experience in conducting risk assessments.
Proven experience in capital project planning.
Familiarity with Windows and Office365 as well as general Cloud-based security.
Familiarity with ERP systems, e.g. Oracle and SAP.
Familiarity with industry wide DCS systems such as Emerson & GE would be advantageous.
Ability to communicate with senior stakeholders, able to break down and explain complex technical topics into easy to digest updates.
Proven analytical and problem-solving abilities.
Ability to effectively prioritize and execute tasks in a high-pressure environment.
Good written, oral, and interpersonal communication skills.
Ability to conduct research into IT security issues and products as required.
Ability to present ideas in business-friendly and user-friendly language.
Highly self-motivated and directed.
Has experience in staff management where influencing, developing/and or motivating people is critical to the achievement of objectives.
Leadership Skills
Key Leadership Skills: 
Authenticity:
Inspire by personal integrity, transparency and humility.
Resilient under pressure, strengthened by adversity.
Performance:
Lead delivery of extraordinary business outcomes.
Passionately invest in people to build performance for today and tomorrow.
Growth:
Set direction and capture opportunities to generate sustainable value.
Active in external environment for new perspectives and opportunities.
Collaboration:
Collaborate across boundaries at pace, embrace diversity and cultures.
Simplicity, Focus, Priority setting and Speed.
Lead by example to simplify internal processes.
Timely decision taking.","['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'IT Security', 'Cyber Security', 'Information Security', 'Information Technology (IT)', 'Security', 'Networks', 'Testing', 'CISSP', 'Data']",https://images.wuzzuf-data.net/files/company_covers/thumbs/1803716296225e2621a877.png
34,Senior Sales Account Manager (IT Infrastructure)," IT/Software Development , Sales/Retail , Engineering - Telecom/Technology , Data Centers , Servers , IT Sales , Sales Skills , IT Infrastructure Sales , Sales Target , Computer Science", 4 - 6 Yrs of Exp ,https://wuzzuf.net/jobs/p/SakjtV9mlKP7-Senior-Sales-Account-Manager-IT-Infrastructure-Cairo-Egypt?o=35&l=sp&t=sj&a=data science|search-v3,Confidential, Egypt , Cairo,Nasr City,12 days ago,Confidential,Full Time,"Job Description
Initiates sales process by scheduling appointments, making initial presentations, Understanding account requirements.
Expands sales in new and existing accounts by introducing new products and services
Effectively maintains and retains existing customers by building long-term relationships
Closes sales by building rapport with potential account; explaining product and service capabilities; overcoming objections; preparing contracts
Responsible for keeping current clients satisfied and delivering exceptional client service on a day-to-day basis","Job Requirements
Education: Bachelor degree in Computer Science or any related field
Experience 4-6 years in IT sales 
Experience selling IBM, DELL-EMC, Lenovo, data center Solutions, backup solutions server and storage solutions is a Must
Very Good English Skills
Car is a MUST
Excellent Sales, Communication, Presentation skill, technical skills & negotiation skills.","['IT/Software Development', 'Sales/Retail', 'Engineering - Telecom/Technology', 'Data Centers', 'Servers', 'IT Sales', 'Sales Skills', 'IT Infrastructure Sales', 'Sales Target', 'Computer Science', 'Computer Engineering', 'Information Technology (IT)', 'Sales Account Management', 'English', 'IT', 'Sales', 'Customer Service', 'IBM', 'DELL', 'EMC', 'Security', 'Network Security', 'Light Current', 'Light Current Systems', 'EMC Storage', 'SAN Storage', 'Storage Area Network', 'Vmware', 'Backup Solutions', 'High Availability (HA)']",Confidential
35,C++ Senior Developer," IT/Software Development , Engineering - Telecom/Technology , C++ , Computer Engineering , Software Engineering , Software Development , Information Technology (IT) , Programming , Software , Computer Science", 6+ Yrs of Exp ,https://wuzzuf.net/jobs/p/QDydcqX8QPP8-C-Senior-Developer-TensorGraph-Cairo-Egypt?o=36&l=sp&t=sj&a=data science|search-v3,TensorGraph, Egypt , Cairo,Maadi,9 days ago,https://wuzzuf.net/jobs/careers/TensorGraph-Egypt-32724,Full TimeShift Based,"Job Description
TensorGraph is hiring for Percision.ai talented C++  Senior Developer to join our team. Working closely with our drone engineers, computer vision engineers, and key technical leads, you will support the development of our high-performance software components, which integrate within Precision AI’s Drone survey system. 
Job Duties:
Collaborate with the software development team, drone engineering team, and key stakeholders on product development utilizing your C++ coding skills.
Oversee the work of and mentor a team of talented but less experienced staff through the full software development lifecycle.
Develop software and support the deployment of applications across both on-board and off-board platforms.
Define and perform diagnostic testing and debugging procedures.
Support the optimization of drone-related software integration for maintenance, updates, and upgrades.
Document processes and maintain software development records.
Keep up to date with C++ standards and advancements in application development.
Consult with internal technical leads to determine the scope of software development projects.","Job Requirements
Bachelor's degree in Computer Engineering.
Must have 4+ years of experience in C++ and 6+ years of experience in the Software Field.
Top-notch investigation skills
Demonstrated experience and success in managing teams of C++ developers
Excellent Technical competence (algorithms, data structures) and strong analytical and programming skills.
Very Good communication skills and cross-organizational interactions.
Embedded system experience will be a plus.
About Precision.ai:
Precision.ai is at the forefront of the sustainable food revolution specializing in drones and artificial intelligence. We provide fully autonomous spraying and crop protection solutions for the agriculture industry. Headquartered in Regina, Saskatchewan, our mission is to create intelligence that enables the elimination of chemical residue in our food supply to make healthier, safer food for everyone.","['IT/Software Development', 'Engineering - Telecom/Technology', 'C++', 'Computer Engineering', 'Software Engineering', 'Software Development', 'Information Technology (IT)', 'Programming', 'Software', 'Computer Science', 'Engineering', 'Algorithms', 'Data Structures']",https://images.wuzzuf-data.net/files/company_logo/TensorGraph-Egypt-32724-1636296196.png
36,Business System Analyst," Analyst/Research , Analysis , Computer Science , Data Analysis , Data Analyst , Information Technology (IT) , Analyst , Data", 1 - 3 Yrs of Exp ,https://wuzzuf.net/jobs/p/1dM41TI8bc8w-Business-System-Analyst-The-Food-Lab-Cairo-Egypt?o=37&l=sp&t=sj&a=data science|search-v3,The Food Lab, Egypt , Cairo,Maadi,10 days ago,https://wuzzuf.net/jobs/careers/The-Food-Lab-Egypt-70093,Full Time,"Job Description
Responsible and accountable to maintain Operation business systems at a high-quality level of consistency and accuracy all the time.
Responsible to extract actionable insights from business systems and communicate the actions needed with cross-functional teams.
Assess and resolve data quality issues and provide technical support to different stakeholders.
Collaborate with cross-functional teams on identifying business/product opportunities.
Coordinate and assess the business platforms/applications updates impact on business users.
Constantly be on the lookout for new tools to improve the business and deliver better value.","Job Requirements
Bachelor’s degree from an accredited university.
Ability to translate business requirements into non-technical.
Work experience as a data analyst or in a related field.
Ability to work with stakeholders to assess potential risks.
Ability to analyze existing tools and databases.
Proficiency with data analysis and visualization.
Ability and flexibility to take initiative and multi-task in projects from initiation to completion.","['Analyst/Research', 'Analysis', 'Computer Science', 'Data Analysis', 'Data Analyst', 'Information Technology (IT)', 'Analyst', 'Data']",https://images.wuzzuf-data.net/files/company_logo/The-Food-Lab-Egypt-70093-1635954995.png
37,Business Intelligence (BI) specialist," IT/Software Development , Analyst/Research , Engineering - Telecom/Technology , BI , Business Intelligence , Computer Science , Data Warehouse , ETL , Information Technology (IT) , Microsoft Power BI", 3 - 6 Yrs of Exp ,https://wuzzuf.net/jobs/p/l9VKk9akWvNX-Business-Intelligence-BI-specialist-Johnson-Controls-Cairo-Egypt?o=38&l=sp&t=sj&a=data science|search-v3,Johnson Controls, Egypt , Cairo,Nasr City,13 days ago,https://wuzzuf.net/jobs/careers/Johnson-Controls-Saudi-Arabia-45733,Full Time,"Job Description
Job Summary: 
BI specialist is specialize in manage BI , analytics solutions ,design and implement BI systems, including integration with databases and data warehouses. This includes selecting, blueprinting, gathering requirements, designing and rolling out BI solutions to end users. He/She is also responsible for ensuring high levels of BI availability through support functions and in-depth testing. 
Analyze user requirements and, based on findings, design functional specifications for BI front-end applications.
Translate business needs to technical specifications
Produce ETL design guidelines to ensure a manageable ETL infrastructure for the BI system.
Design, build and deploy BI solutions (e.g. reporting tools)
Create tools to store data (e.g. Tabular model)
Conduct unit testing and troubleshooting
Evaluate and improve existing BI systems
Collaborate with teams to integrate systems
Develop and execute database queries and conduct analyses
Create visualizations and reports for requested projects
Develop and update technical documentation
Coordinate with developers and end users and gather all data design specifications as per customer requirements.
Design communication process and prepare plans for all work assignments and ensure completion within deadline.
Monitor all data projects according to development life cycle and ensure compliance to quality standards.
Administer design of Business Intelligence projects and develop dashboards and operations for reports.
Develop reports and dashboards on SQL servers.
Prepare test cases and plans and perform tests on systems.
Install and assist to configure various Business Intelligence tools.
Perform troubleshoot on all Business Intelligence tools and assist in resolution.
Monitor monthly release cycle and perform unit tests for Quality Assurance","Job Requirements
Minimum 3-5 years of experience
Bachelor's degree of computer technology or related fields
Experience in in developing BI dashboards
In-depth understanding in data warehouse design (e.g. dimensional modeling) and data mining
In-depth understanding of database management systems, online analytical processing (OLAP) and ETL (Extract, transform, load) framework
Familiarity with BI technologies (e.g. Microsoft Power BI, Oracle BI)
Experience with tier-one applications, databases, and data warehouses 
Hard knowledge of SQL queries, SQL Server Reporting Services (SSRS) and SQL Server Integration Services (SSIS)
Strong understanding of relational database
Strong ability to analyze user requirements and build front-end BI applications according to specifications structures
Proven abilities to take initiative and be innovative
Analytical mind with a problem-solving aptitude
Understanding of Agile methodologies
Knowledge & experience of UI. ","['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'BI', 'Business Intelligence', 'Computer Science', 'Data Warehouse', 'ETL', 'Information Technology (IT)', 'Microsoft Power BI', 'SQL', 'SSIS', 'SSRS', 'Power BI', 'Oracle', 'Computer Engineering']",https://images.wuzzuf-data.net/files/company_logo/Johnson-Controls-Saudi-Arabia-45733-1575796680.jpg
38,Senior Business Intelligence," Business Development , IT/Software Development , Analyst/Research , Data , Business Intelligence , Computer Science , Financial , Information Technology (IT)", 5+ Yrs of Exp ,https://wuzzuf.net/jobs/p/q8QHbFoVS0sI-Senior-Business-Intelligence--Cairo-Alkan-CIT-Cairo-Egypt?o=39&l=sp&t=sj&a=data science|search-v3,Alkan CIT, Egypt , Cairo,Mokattam,13 days ago,https://wuzzuf.net/jobs/careers/Alkan-CIT-Egypt-3148,Full Time,"Job Description

• Creating and maintaining documentation that includes the design, requirements, and user manuals for the organization
 • Identifying the development needs for the purpose of streamlining and improving the operations of the organization for efficiency and profitability
 • Providing reports through office applications to improve business processes
 • Collaborating with team members for the purpose of collecting data and executing the company’s mission
 • Analyzing business requirements and processes and recommending them to the management and executives for implementation
 • Developing and managing business intelligence solutions for the organization
 • Analyze existing reports and optimize them for standardization across multiple DBs.
 • Develop recurring reports and dashboard solutions to communicate key performance indicators to the business.
 • Work with management and different business units to analyze business processes and requirements
 • Create and maintain documentation including requirements and business processes models.
 • Work closely with technical partners in the data platform engineering team on designing and developing robust data structures and highly reliable data pipelines
 • Identify opportunities to improve processes and strategies.","Job Requirements
• Minimum of 5 years related practical and relevant work experience.
 • Outstanding knowledge of essential business targets.
 • Excellent knowledge of the procedures for managing projects.
 • Remarkable knowledge of financial systems, computer systems, spreadsheets, and electronic record systems.
 • Unique experience in analyzing and carrying out interpretations by utilizing intricate data sets.
 • Impressive experience in designing managerial-level presentations and reports.
 • Outstanding experience with government policies and programs.
 • Unique skills in generating efficient, reliable working relationships with the board, staff, and customers.
 • Outstanding skills in finding a resolution to complicated problems while performing independently in a multifaceted and dynamic environment","['Business Development', 'IT/Software Development', 'Analyst/Research', 'Data', 'Business Intelligence', 'Computer Science', 'Financial', 'Information Technology (IT)']",https://images.wuzzuf-data.net/files/company_logo/Alkan-CIT-Egypt-3148.jpg
39,Data Scientist," IT/Software Development , Analyst/Research , Engineering - Telecom/Technology , Data Science , Programming , Machine Learning , Python , Data Analytics , Computer Science , Information Technology (IT)", 1 - 4 Yrs of Exp ,https://wuzzuf.net/jobs/p/yvKLvGcoRMNa-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=40&l=sp&t=sj&a=data science|search-v3,Seoudi Supermarket, Egypt , Giza,Sheikh Zayed,2 months ago,https://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038,Full Time,"Job Description
Analyze raw data: assessing quality, cleansing, structuring for downstream processing.
 Design accurate and scalable prediction algorithms.
 Collaborate with engineering team to bring analytical prototypes to production.
 Generate actionable insights for business improvements.

Work Conditions
Full-time job (On-site).
Location: Sheikh Zayed, Giza.
2 days off  (Friday and Saturday)","Job Requirements
Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
 At least 1 - 4 years' of experience in quantitative analytics or data modeling.
 Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms.
 Fluency in a programming language (Python, C,C++, Java, SQL).
 Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau).
 ","['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Science', 'Programming', 'Machine Learning', 'Python', 'Data Analytics', 'Computer Science', 'Information Technology (IT)']",https://images.wuzzuf-data.net/files/company_covers/thumbs/8d1d7a8e813388f755d75a306e6673c4.jpeg
40,Power BI Developer," IT/Software Development , Analyst/Research , Engineering - Telecom/Technology , Computer Science , Power BI , SSRS , BI , SQL , Microsoft Power BI , Engineering", 1 - 5 Yrs of Exp ,https://wuzzuf.net/jobs/p/KIEsf1VNGrM0-Power-BI-Developer-BI-Technologies-Cairo-Egypt?o=41&l=sp&t=sj&a=data science|search-v3,BITechnologies, Egypt , Cairo,New Cairo,17 days ago,https://wuzzuf.net/jobs/careers/BI-Technologies-Egypt-14526,Full Time,"Job Description
Role statement/ Basic function:
The main role of BI Developer is to create and manage BI and analytics solutions that turn data into knowledge.
S/He should have a background in data and business analysis, should be analytical and an excellent communicator.
Ultimately, S/He will enhance our business intelligence solution to help the customers make better decisions.
Principal Accountabilities and Responsibilities:
Translate business needs to technical specifications
Design, build and deploy BI solutions 
Maintain and support data analytics platforms 
Pinpoint and solve issues with data quality
Conduct unit testing and troubleshooting
Evaluate and improve existing BI systems
Collaborate with teams to integrate systems
Develop and execute database queries and conduct analysis
Create visualizations and reports for requested projects
Develop and update technical documentation","Job Requirements
Education: BSc/BA in Computer Science, Engineering or relevant field
Technical Skills:
Proven experience as a BI Developer or Data Scientist
Expertise in the following: Power BI/DAX studio/ Excel 
Background in data warehouse design (e.g. dimensional modeling) and data mining
In-depth understanding of database management systems.
Familiarity with BI technologies (e.g. Microsoft Power BI, Oracle BI)
Very good knowledge of SQL queries, SQL Server Reporting Services (SSRS) and SQL Server Integration Services (SSIS)
Soft Skills: 
Good Communication Skills
Good Presentation Skills
Proven abilities to take initiative and be innovative
Analytical mind with a problem-solving aptitude","['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Computer Science', 'Power BI', 'SSRS', 'BI', 'SQL', 'Microsoft Power BI', 'Engineering', 'Oracle', 'BI Developer', 'SSIS', 'Data Warehouse', 'Information Technology (IT)', 'Telecom', 'Data Science', 'Data Scientist']",https://images.wuzzuf-data.net/files/company_covers/thumbs/28727824262a9e2c87041c.png
41,Full Stack Developer Angular & Java ( R&D )," IT/Software Development , Engineering - Telecom/Technology , Information Technology (IT) , Angular , Java , Computer Science , Computer Engineering , Software Engineering , System Design , Data Structure", 2+ Yrs of Exp ,https://wuzzuf.net/jobs/p/IR3ze1CYJEqL-Full-Stack-Developer-Angular-Java-RD-Cegedim-Cairo-Egypt?o=42&l=sp&t=sj&a=data science|search-v3,Cegedim, Egypt , Cairo,New Cairo,12 days ago,https://wuzzuf.net/jobs/careers/Cegedim-Egypt-35756,Full Time,"Job Description
2+ years of software development experience.
Excellent understanding of software engineering concepts.
Excellent coding skills.
Good experience with system design
Good problem solving skills.
Good knowledge of algorithms and data structure.
Experience with Java and Spring framework
Experience with AngularJS and Angular8+.
Experience with Node.JS  is preferred
Experience in software architecture is a plus
Experience with TDD is a plus.
Excellent English communication skills.
Good French communication is a plus",No,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Angular', 'Java', 'Computer Science', 'Computer Engineering', 'Software Engineering', 'System Design', 'Data Structure', 'AngularJS', 'TDD', 'Node.js', 'English', 'French', 'Angular 8+', 'Full Stack']",https://images.wuzzuf-data.net/files/company_covers/thumbs/208944967062fe40a23117a.png
